status,src_field,src_type,bcv_field,bcv_type,size,usage:ETL,usage:SOS,usage:Insights,usage:Arena,usage:LQS,usage:CP,usage:AF,usage:Others,recommended_action
DIFF,request,varchar,,,,,,,,,,,,No Backfill - Low Usage
MATCHED,request__transaction_id,varchar,request__transaction_id,varchar,0.23,,,,,,,,,
MATCHED - TYPE DIFF,request__timestamp,timestamp(3),request__timestamp,timestamp(3) with time zone,0.05,,,,,,,,,
MATCHED,request__flags,bigint,request__flags,bigint,,,,,,,,,,
MATCHED,request__context,varchar,request__context,varchar,,,,,,,,,,
MATCHED,request__context__network_id,bigint,request__context__network_id,bigint,,,,,,,,,,
MATCHED,request__context__asset_id,bigint,request__context__asset_id,bigint,,,,,,,,,,
MATCHED,request__context__custom_asset_id,varchar,request__context__custom_asset_id,varchar,,,,,,,,,,
MATCHED,request__context__site_section_id,bigint,request__context__site_section_id,bigint,,,,,,,,,,
MATCHED,request__context__custom_site_section_id,varchar,request__context__custom_site_section_id,varchar,,,,,,,,,,
MATCHED,request__context__page_random,varchar,request__context__page_random,varchar,0.11,,,,,,,,,
MATCHED,request__context__video_random,varchar,request__context__video_random,varchar,0.11,,,,,,,,,
DIFF,request__context__custom_distributor_id,varchar,,,,,,,,,,,,No Backfill - Low Usage
DIFF,request__context__custom_distributor_category,varchar,,,,,,,,,,,,No Backfill - Low Usage
DIFF,request__context__custom_distributor_signature,varchar,,,,,,,,,,,,No Backfill - Low Usage
MATCHED,request__context__asset_duration,double,request__context__asset_duration,double,,,,,,,,,,
MATCHED,request__context__distributor_asset_id,varchar,request__context__distributor_asset_id,varchar,,,,,,,,,,
DIFF,request__context__uri,varchar,,,,,,,,,,,,No Backfill - Low Usage
MATCHED,request__context__request_duration,double,request__context__request_duration,double,,,,,,,,,,
MATCHED,request__context__time_position,double,request__context__time_position,double,,,,,,,,,,
MATCHED,request__context__profile_id,bigint,request__context__profile_id,bigint,,,,,,,,,,
